,,,,,,,,,,,,,,,,,,,,pdstrip_4q,,pdstrip_8q,,sharestrip_4q,,sharestrip_8q
1947.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1947.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1947.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1947.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1948.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1948.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1948.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1948.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1949.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1949.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1949.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1949.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1950.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1950.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1950.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1950.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1951.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1951.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1951.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1951.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1952.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1952.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1952.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1952.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1953.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1953.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1953.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1953.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1954.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1954.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1954.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1954.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1955.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1955.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1955.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1955.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1956.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1956.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1956.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1956.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1957.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1957.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1957.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1957.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1958.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1958.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1958.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1958.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1959.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1959.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1959.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1959.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1960.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1960.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1960.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1960.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1961.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1961.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1961.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1961.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1962.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1962.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1962.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1962.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1963.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1963.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1963.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1963.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1964.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1964.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1964.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1964.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1965.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1965.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1965.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1965.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1966.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1966.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1966.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1966.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1967.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1967.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1967.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1967.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1968.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1968.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1968.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1968.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1969.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1969.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1969.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1969.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1970.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1970.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1970.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1970.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1971.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1971.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1971.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1971.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1972.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1972.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1972.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1972.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1973.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1973.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1973.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1973.4,,,,,,,,,,,,,,,,,,,,,,,,,,
