year,lev
1945,0.156044801
1946,0.159812539
1947,0.156537753
1948,0.158620045
1949,0.158825764
1950,0.155770949
1951,0.157529636
1952,0.162319604
1953,0.163619831
1954,0.165793144
1955,0.164468948
1956,0.165032126
1957,0.170145064
1958,0.174618055
1959,0.17684049
1960,0.184260317
1961,0.186646675
1962,0.191308459
1963,0.194990457
1964,0.19891232
1965,0.203385376
1966,0.209937332
1967,0.213972668
1968,0.218758674
1969,0.220607586
1970,0.232048941
1971,0.228952275
1972,0.22770393
1973,0.229498251
1974,0.21617263
1975,0.197119749
1976,0.190948957
1977,0.192704001
1978,0.18787491
1979,0.180569506
1980,0.171256604
1981,0.171915114
1982,0.176904144
1983,0.185623984
1984,0.19982747
1985,0.210108129
1986,0.228744748
1987,0.236540954
1988,0.240256773
1989,0.246260117
1990,0.252650205
1991,0.247630514
1992,0.249148978
1993,0.251542933
1994,0.253995529
1995,0.253039816
1996,0.248915212
1997,0.24530692
1998,0.24245867
1999,0.240662692
2000,0.226441023
2001,0.23155353
2002,0.226494525
2003,0.222273247
2004,0.207460117
2005,0.200231726
2006,0.198551342
2007,0.203531131
2008,0.22317018
2009,0.225420312
2010,0.224786097
2011,0.226250843
2012,0.229391511
2013,0.223524769
2014,0.225165196
2015,0.226770476
2016,0.221753152
2017,0.2223788
2018,0.229062636
2019,0.218551739
2020,0.231291064
2021,0.220937103
