year,tau,g,s,x,pi,,3mo CMT,1yr CMT,2yr CMT,5yr CMT,10yr CMT,30yr CMT,pdm,divgrm,debt_gdp_ratio,debt_gdp_sargenthall,,,20yr CMT,,,,,,,,,,,,tips5,tips7,tips10,tips20,tips30,total return,
1929,0.035372849,0.024856597,0.010516252,,,,3.03,3.03,,,3.36,,3.077602624,0.103210267,,0.149873396,,,,,,,,,,,,,,,,,,,,,
1930,0.031453362,0.029284165,0.002169197,-0.086762496,-0.039420925,,1.48,1.48,,,3.22,,2.759490885,-0.07218613,,0.168375812,,,,,,,,,,,,,,,,,,,,0.049081836,
1931,0.024547804,0.050387597,-0.025839793,-0.07094115,-0.1040322,,2.41,2.41,,,3.93,,2.355273864,-0.251090655,,0.216168479,,,,,,,,,,,,,,,,,,,,-0.133987031,
1932,0.026890756,0.045378151,-0.018487395,-0.142042055,-0.120968413,,0.085,0.085,,,3.35,,2.715489635,-0.532895806,,0.346832883,,,,,,,,,,,,,,,,,,,,0.137744511,
1933,0.045454545,0.055944056,-0.01048951,-0.01200032,-0.027422094,,0.695,0.695,,,3.53,,3.333301982,-0.209845133,,0.404822092,,,,,,,,,,,,,,,,,,,,0.005266123,
1934,0.050898204,0.079341317,-0.028443114,0.10767698,0.047472202,,0.2,0.2,,,2.99,,3.182361484,0.143679159,,0.423194959,,,,,,,,,,,,,,,,,,,,0.104479686,
1935,0.049865229,0.07277628,-0.022911051,0.085138483,0.019922587,,0.15,0.15,,,2.82,,3.414031479,0.103997493,,0.400560928,,,,,,,,,,,,,,,,,,,,0.074247573,
1936,0.054245283,0.089622642,-0.035377358,0.121080901,0.012450492,,0.15,0.15,,,2.52,,3.220827628,0.439322953,,0.398729359,,,,,,,,,,,,,,,,,,,,0.117029286,
1937,0.070967742,0.064516129,0.006451613,0.05649119,0.03581276,,0.11,0.11,,,2.68,,2.640722765,0.105368416,,0.369319013,,,,,,,,,,,,,,,,,,,,0.003269179,
1938,0.068649886,0.081235698,-0.012585812,-0.043388115,-0.018716096,,0.02,0.02,,,2.48,,3.302688536,-0.471166231,,0.410614884,,,,,,,,,,,,,,,,,,,,0.068703839,
1939,0.06745182,0.085653105,-0.018201285,0.078896225,-0.012500163,,0.04,0.04,,,2.3,,3.095961626,0.182938182,,0.397277617,,,,,,,,,,,,,,,,,,,,0.055466599,
